"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL303, DL2692","FCO","JFK","delta","10/25 12:25PM","10/25 11:47PM","982","1","Airbus A330-200, Airbus A220","MSP","105000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/13 12:30PM","10/13 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","4","","","","321.63","USD","0","","8","","","","455.53","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","11/02 1:00PM","11/02 5:02PM","602","0","Airbus A330-300","","66000","","2","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","2","","","","55.63","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/13 12:30PM","10/13 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","","","","","","","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/11 3:30PM","10/11 10:40PM","790","1","Airbus A318, Boeing 777-200","CDG","25000","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/07 3:30PM","10/07 10:40PM","790","1","Airbus A320, Airbus A350-900","CDG","18750","","9","","","","224.73","USD","89000","","5","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/21 9:45AM","10/21 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","49000","","9","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/20 10:00AM","10/20 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","35000","","9","","","","224.83","USD","88500","","4","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/08 10:00AM","10/08 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","2","","","","455.53","USD","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/06 1:10PM","10/06 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","84000","","5","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/18 9:45AM","10/18 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","105000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/12 12:45PM","10/12 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","4","","","","458.73","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/08 12:30PM","10/08 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","9","","","","321.63","USD","148000","","4","","","","455.53","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","11/01 12:30PM","11/01 6:55PM","745","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/28 11:45AM","10/28 4:50PM","605","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","170000","","7","","","","55.63","EUR","0","","3","","","","55.63","EUR","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/11 10:00AM","10/11 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25500","","5","","","","224.83","USD","0","","4","","","","321.63","USD","0","","3","","","","455.53","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/29 12:30PM","10/29 7:55PM","745","1","Airbus A320, Boeing 777-300ER","CDG","66500","","4","","","","224.73","USD","0","","3","","","","321.52","USD","0","","8","","","","455.33","USD","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/18 12:45PM","10/18 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","47500","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","8","","","","455.43","USD","0","","","","","","",""
"AZ576, LX22","FCO","JFK","aeroplan","10/13 9:05AM","10/13 2:20PM","675","1","Airbus A320neo, Airbus A330-300","GVA","42500","","9","","","","196.70","CAD","0","","","","","","","","75000","","4","","","","196.70","CAD","0","","","","","","",""
